"ISO3 Code","Country","ILO Region","ILO Subregion - Broad","ILO Subregion - Detailed","World Bank Income Group","Is ILO member?","Included in ILO estimates?"
"AFG","Afghanistan","Asia and the Pacific","Southern Asia","Southern Asia","Low income","Yes","Yes"
"ALB","Albania","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","Yes","Yes"
"DZA","Algeria","Africa","Northern Africa","Northern Africa","Lower-middle income","Yes","Yes"
"ASM","American Samoa","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","No"
"AND","Andorra","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","No","No"
"AGO","Angola","Africa","Sub-Saharan Africa","Central Africa","Lower-middle income","Yes","Yes"
"AIA","Anguilla","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","No","No"
"ATG","Antigua and Barbuda","Americas","Latin America and the Caribbean","Caribbean","High income","Yes","No"
"ARG","Argentina","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"ARM","Armenia","Europe and Central Asia","Central and Western Asia","Western Asia","Upper-middle income","Yes","Yes"
"ABW","Aruba","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"AUS","Australia","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","Yes","Yes (*)"
"AUT","Austria","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"AZE","Azerbaijan","Europe and Central Asia","Central and Western Asia","Western Asia","Upper-middle income","Yes","Yes"
"BHS","Bahamas","Americas","Latin America and the Caribbean","Caribbean","High income","Yes","Yes"
"BHR","Bahrain","Arab States","Arab States","Arab States","High income","Yes","Yes"
"BGD","Bangladesh","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","Yes","Yes"
"BRB","Barbados","Americas","Latin America and the Caribbean","Caribbean","High income","Yes","Yes"
"BLR","Belarus","Europe and Central Asia","Eastern Europe","Eastern Europe","Upper-middle income","Yes","Yes"
"BEL","Belgium","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"BLZ","Belize","Americas","Latin America and the Caribbean","Central America","Upper-middle income","Yes","Yes"
"BEN","Benin","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"BMU","Bermuda","Americas","Northern America","Northern America","High income","No","No"
"BTN","Bhutan","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","No","Yes"
"BOL","Bolivia","Americas","Latin America and the Caribbean","South America","Lower-middle income","Yes","Yes"
"BIH","Bosnia and Herzegovina","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","Yes","Yes"
"BWA","Botswana","Africa","Sub-Saharan Africa","Southern Africa","Upper-middle income","Yes","Yes"
"BRA","Brazil","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"VGB","British Virgin Islands","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"BRN","Brunei Darussalam","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","High income","No","Yes"
"BGR","Bulgaria","Europe and Central Asia","Eastern Europe","Eastern Europe","Upper-middle income","Yes","Yes (*)"
"BFA","Burkina Faso","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"BDI","Burundi","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"KHM","Cambodia","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","Yes","Yes"
"CMR","Cameroon","Africa","Sub-Saharan Africa","Central Africa","Lower-middle income","Yes","Yes"
"CAN","Canada","Americas","Northern America","Northern America","High income","Yes","Yes (*)"
"CPV","Cape Verde","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"CYM","Cayman Islands","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"CAF","Central African Republic","Africa","Sub-Saharan Africa","Central Africa","Low income","Yes","Yes"
"TCD","Chad","Africa","Sub-Saharan Africa","Central Africa","Low income","Yes","Yes"
"CHA","Channel Islands","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","No","Yes (*)"
"CHL","Chile","Americas","Latin America and the Caribbean","South America","High income","Yes","Yes"
"CHN","China","Asia and the Pacific","Eastern Asia","Eastern Asia","Upper-middle income","Yes","Yes"
"COL","Colombia","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"COM","Comoros","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes"
"COG","Congo","Africa","Sub-Saharan Africa","Central Africa","Lower-middle income","Yes","Yes"
"COD","Congo, Democratic Republic of the","Africa","Sub-Saharan Africa","Central Africa","Low income","Yes","Yes"
"COK","Cook Islands","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","No","No"
"CRI","Costa Rica","Americas","Latin America and the Caribbean","Central America","Upper-middle income","Yes","Yes"
"HRV","Croatia","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"CUB","Cuba","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","Yes"
"CUW","Cura?ao","Americas","Latin America and the Caribbean","Caribbean","High income","No","No"
"CYP","Cyprus","Europe and Central Asia","Central and Western Asia","Western Asia","High income","Yes","Yes (*)"
"CZE","Czechia","Europe and Central Asia","Eastern Europe","Eastern Europe","High income","Yes","Yes (*)"
"CIV","C?te d'Ivoire","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"DNK","Denmark","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"DJI","Djibouti","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes (*)"
"DMA","Dominica","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","No"
"DOM","Dominican Republic","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","Yes"
"ECU","Ecuador","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"EGY","Egypt","Africa","Northern Africa","Northern Africa","Lower-middle income","Yes","Yes"
"SLV","El Salvador","Americas","Latin America and the Caribbean","Central America","Lower-middle income","Yes","Yes"
"GNQ","Equatorial Guinea","Africa","Sub-Saharan Africa","Central Africa","Upper-middle income","Yes","Yes"
"ERI","Eritrea","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"EST","Estonia","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"ETH","Ethiopia","Africa","Sub-Saharan Africa","Eastern Africa","Low income","Yes","Yes"
"FRO","Faeroe Islands","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","No","No"
"FLK","Falkland Islands (Malvinas)","Americas","Latin America and the Caribbean","South America","High income","No","No"
"FJI","Fiji","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Upper-middle income","Yes","Yes"
"FIN","Finland","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"FRA","France","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"GUF","French Guiana","Americas","Latin America and the Caribbean","South America","High income","No","No"
"PYF","French Polynesia","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","Yes (*)"
"GAB","Gabon","Africa","Sub-Saharan Africa","Central Africa","Upper-middle income","Yes","Yes"
"GMB","Gambia","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"GEO","Georgia","Europe and Central Asia","Central and Western Asia","Western Asia","Upper-middle income","Yes","Yes"
"DEU","Germany","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"GHA","Ghana","Africa","Sub-Saharan Africa","Western Africa","Lower-middle income","Yes","Yes"
"GIB","Gibraltar","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","No","No"
"GRC","Greece","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"GRL","Greenland","Americas","Northern America","Northern America","High income","No","No"
"GRD","Grenada","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","No"
"GLP","Guadeloupe","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","No","No"
"GUM","Guam","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","High income","No","Yes (*)"
"GTM","Guatemala","Americas","Latin America and the Caribbean","Central America","Upper-middle income","Yes","Yes"
"GGY","Guernsey","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","No"
"GIN","Guinea","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"GNB","Guinea-Bissau","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"GUY","Guyana","Americas","Latin America and the Caribbean","South America","Upper-middle income","Yes","Yes"
"HTI","Haiti","Americas","Latin America and the Caribbean","Caribbean","Low income","Yes","Yes"
"HND","Honduras","Americas","Latin America and the Caribbean","Central America","Lower-middle income","Yes","Yes"
"HKG","Hong Kong, China","Asia and the Pacific","Eastern Asia","Eastern Asia","High income","No","Yes"
"HUN","Hungary","Europe and Central Asia","Eastern Europe","Eastern Europe","High income","Yes","Yes (*)"
"ISL","Iceland","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"IND","India","Asia and the Pacific","Southern Asia","Southern Asia","Lower-middle income","Yes","Yes"
"IDN","Indonesia","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Upper-middle income","Yes","Yes"
"IRN","Iran, Islamic Republic of","Asia and the Pacific","Southern Asia","Southern Asia","Upper-middle income","Yes","Yes"
"IRQ","Iraq","Arab States","Arab States","Arab States","Upper-middle income","Yes","Yes"
"IRL","Ireland","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"IMN","Isle of Man","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","No","No"
"ISR","Israel","Europe and Central Asia","Central and Western Asia","Western Asia","High income","Yes","Yes (*)"
"ITA","Italy","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","High income","Yes","Yes (*)"
"JAM","Jamaica","Americas","Latin America and the Caribbean","Caribbean","Upper-middle income","Yes","Yes"
"JPN","Japan","Asia and the Pacific","Eastern Asia","Eastern Asia","High income","Yes","Yes (*)"
"JEY","Jersey","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","No"
"JOR","Jordan","Arab States","Arab States","Arab States","Upper-middle income","Yes","Yes"
"KAZ","Kazakhstan","Europe and Central Asia","Central and Western Asia","Central Asia","Upper-middle income","Yes","Yes"
"KEN","Kenya","Africa","Sub-Saharan Africa","Eastern Africa","Lower-middle income","Yes","Yes"
"KIR","Kiribati","Asia and the Pacific","South-Eastern Asia and the Pacific","Pacific Islands","Lower-middle income","Yes","No"
"PRK","Korea, Democratic People's Republic of","Asia and the Pacific","Eastern Asia","Eastern Asia","Low income","No","Yes"
"KOR","Korea, Republic of","Asia and the Pacific","Eastern Asia","Eastern Asia","High income","Yes","Yes"
"KOS","Kosovo","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","No","No"
"KWT","Kuwait","Arab States","Arab States","Arab States","High income","Yes","Yes"
"KGZ","Kyrgyzstan","Europe and Central Asia","Central and Western Asia","Central Asia","Lower-middle income","Yes","Yes"
"LAO","Lao People's Democratic Republic","Asia and the Pacific","South-Eastern Asia and the Pacific","South-Eastern Asia","Lower-middle income","Yes","Yes"
"LVA","Latvia","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"LBN","Lebanon","Arab States","Arab States","Arab States","Upper-middle income","Yes","Yes"
"LSO","Lesotho","Africa","Sub-Saharan Africa","Southern Africa","Lower-middle income","Yes","Yes"
"LBR","Liberia","Africa","Sub-Saharan Africa","Western Africa","Low income","Yes","Yes"
"LBY","Libya","Africa","Northern Africa","Northern Africa","Upper-middle income","Yes","Yes"
"LIE","Liechtenstein","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","No","No"
"LTU","Lithuania","Europe and Central Asia","Northern, Southern and Western Europe","Northern Europe","High income","Yes","Yes (*)"
"LUX","Luxembourg","Europe and Central Asia","Northern, Southern and Western Europe","Western Europe","High income","Yes","Yes (*)"
"MAC","Macau, China","Asia and the Pacific","Eastern Asia","Eastern Asia","High income","No","Yes"
"MKD","Macedonia, the former Yugoslav Republic of","Europe and Central Asia","Northern, Southern and Western Europe","Southern Europe","Upper-middle income","Yes","Yes"
