ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_indicator.label,note_source.label
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2004,79.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,98.5,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,68.2,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2004,70.5,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,97,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,59.8,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2004,89,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2004,99.6,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2004,80.5,Break in series,Break in series: Methodology revised,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2011,84.3,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2011,99.8,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2011,68.1,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2011,77.2,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2011,99.6,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2011,59.3,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Total",2011,91.3,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2011,99.9,,,Repository: ILO-STATISTICS - Micro data processing
Angola,Informal employment rate by sex and economic activity (%),AGO - HIES - Questionnaire sur les Indicateurs de Base du Bien-être,Sex: Female,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2011,79.5,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Total",2012,66.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2012,97.6,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Total,"Economic activity (Agriculture, Non-Agriculture): Non-agriculture",2012,40.2,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Total",2012,63.4,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Informal employment rate by sex and economic activity (%),ALB - LFS - Labour Force Survey,Sex: Male,"Economic activity (Agriculture, Non-Agriculture): Agriculture",2012,96.2,,,Repository: ILO-STATISTICS - Micro data processing
